hours,stress,subject,study,preparation
7.1,7,history,read,4.1
2.2,9,philosophy,read,1.9
8.4,6,computer_science,read,4.8
14.5,4,italian,flashcards,9.2
2.1,5,history,flashcards,3.6
4.1,6,science,repeat,2.1
3.0,8,history,flashcards,4.6
15.9,4,computer_science,read,7.8
1.3,9,italian,repeat,2.9
13.7,5,philosophy,repeat,7.2
7.3,6,computer_science,read,4.8
15.1,3,computer_science,read,7.1
19.3,3,science,repeat,8.4
2.3,7,art,repeat,3.0
6.3,8,italian,repeat,5.5
16.2,6,physics,flashcards,8.7
5.3,6,computer_science,repeat,3.9
4.3,6,art,flashcards,5.5
16.5,2,physics,read,5.4
19.7,3,italian,flashcards,10.0
11.1,5,math,flashcards,6.5
5.6,10,art,flashcards,6.6
8.0,4,english,read,5.4
3.4,7,math,read,1.6
15.2,3,science,repeat,6.7
15.5,4,history,read,6.4
17.5,3,philosophy,read,7.0
0.5,9,english,repeat,2.8
11.2,6,science,repeat,4.9
4.3,8,italian,flashcards,5.6
6.8,5,science,repeat,3.7
15.7,6,history,flashcards,10.0
3.8,6,italian,repeat,4.3
12.8,3,english,flashcards,9.1
13.1,4,history,flashcards,8.5
19.1,3,physics,flashcards,9.0
15.5,2,philosophy,repeat,7.4
16.1,5,english,flashcards,10.0
10.6,4,physics,exercise,5.3
3.7,6,english,repeat,4.5
8.5,6,italian,repeat,5.7
11.0,7,physics,exercise,5.7
13.6,3,philosophy,repeat,5.5
12.2,6,history,read,5.9
7.9,3,computer_science,flashcards,6.4
5.3,7,science,flashcards,5.1
3.4,5,math,exercise,2.1
13.9,3,philosophy,repeat,6.8
12.9,7,physics,exercise,5.6
13.7,3,computer_science,repeat,7.0
7.5,6,philosophy,flashcards,6.0
5.2,5,physics,flashcards,3.7
15.2,5,art,flashcards,10.0
15.5,5,art,flashcards,8.6
9.1,7,philosophy,repeat,5.9
12.2,7,art,repeat,7.8
7.5,6,physics,flashcards,5.1
14.0,6,physics,flashcards,7.9
16.7,6,philosophy,flashcards,10.0
13.8,5,computer_science,flashcards,9.4
10.3,4,history,read,4.2
9.2,4,english,flashcards,7.8
12.8,5,computer_science,flashcards,9.4
13.6,3,italian,read,7.1
11.2,3,physics,read,3.0
12.5,6,italian,repeat,7.1
1.9,7,computer_science,flashcards,4.9
19.0,7,english,flashcards,10.0
15.8,3,english,repeat,7.5
7.5,5,math,read,3.2
11.3,6,english,flashcards,9.3
0.9,8,history,flashcards,4.4
0.8,8,english,repeat,3.0
5.0,7,computer_science,read,3.7
13.8,9,math,exercise,7.0
17.0,6,computer_science,read,7.4
11.2,6,computer_science,repeat,7.4
10.6,4,science,flashcards,6.7
8.0,6,math,repeat,4.3
3.2,8,computer_science,read,3.3
2.4,9,science,repeat,2.2
15.2,6,science,flashcards,8.2
18.6,2,math,exercise,8.3
9.2,6,italian,flashcards,7.7
13.2,4,history,flashcards,8.4
18.3,5,english,flashcards,10.0
1.8,9,history,read,1.9
15.4,3,english,read,7.8
12.3,5,computer_science,repeat,6.6
12.0,5,physics,exercise,5.9
5.9,5,math,flashcards,4.4
13.7,6,history,repeat,7.6
15.9,4,history,repeat,8.4
2.3,7,computer_science,flashcards,5.6
10.7,4,italian,repeat,6.0
2.0,9,science,repeat,1.5
17.5,4,computer_science,flashcards,9.6
10.2,4,art,repeat,5.8
16.2,3,science,read,6.0
7.4,6,math,flashcards,5.5
2.5,7,science,repeat,2.5
0.8,8,italian,repeat,3.1
5.6,4,science,repeat,4.1
4.9,7,math,exercise,3.5
11.2,3,italian,repeat,6.4
0.4,10,history,read,1.4
10.4,7,history,flashcards,8.1
7.8,8,english,repeat,6.4
11.5,1,science,repeat,5.1
14.0,4,history,repeat,7.0
12.7,5,math,exercise,6.2
19.7,4,philosophy,flashcards,10.0
2.8,9,philosophy,flashcards,5.0
8.6,8,italian,flashcards,7.4
8.5,2,history,repeat,5.0
8.3,5,history,repeat,6.5
13.3,5,philosophy,flashcards,8.3
9.8,7,history,flashcards,8.4
10.3,7,science,flashcards,7.8
8.6,7,art,flashcards,6.7
19.8,2,physics,read,6.5
18.6,3,english,repeat,9.3
6.2,6,italian,read,4.8
2.2,6,art,flashcards,5.5
16.8,2,philosophy,repeat,6.8
19.9,1,history,read,7.5
5.9,7,english,flashcards,7.4
7.2,6,history,flashcards,6.4
18.8,2,math,flashcards,9.1
14.2,2,math,exercise,6.0
5.9,6,english,repeat,4.6
11.6,7,english,flashcards,9.7
18.9,3,philosophy,flashcards,9.6
16.2,5,english,repeat,8.8
14.8,5,science,repeat,6.3
14.7,4,history,flashcards,8.6
3.6,5,art,repeat,3.6
16.5,3,computer_science,read,7.0
5.5,6,english,repeat,5.8
18.6,6,italian,repeat,9.7
7.3,6,math,exercise,4.6
17.2,6,science,repeat,7.7
5.3,8,computer_science,repeat,4.9
10.3,4,art,read,5.3
2.1,7,computer_science,read,1.1
13.2,7,english,flashcards,9.4
16.7,5,philosophy,repeat,7.1
14.4,5,math,exercise,6.8
10.5,7,math,exercise,5.0
0.9,8,philosophy,repeat,2.2
18.7,4,history,flashcards,10.0
14.1,5,physics,flashcards,8.3
14.9,4,science,flashcards,9.4
15.9,2,math,flashcards,8.2
15.0,1,italian,flashcards,9.3
8.8,5,math,exercise,4.6
14.7,5,computer_science,flashcards,9.3
12.5,5,math,flashcards,6.1
17.1,5,math,exercise,7.8
16.0,4,physics,exercise,7.0
0.8,10,physics,flashcards,3.1
7.6,9,art,read,4.5
0.7,6,history,flashcards,3.1
2.0,8,italian,flashcards,4.2
12.0,6,math,exercise,6.8
17.5,1,math,exercise,8.1
2.4,8,science,flashcards,3.2
9.0,7,physics,exercise,4.7
18.2,3,italian,read,6.8
16.3,5,art,repeat,8.4
10.4,6,history,flashcards,8.0
15.4,5,philosophy,flashcards,9.0
10.5,8,history,repeat,6.5
3.2,8,computer_science,repeat,4.3
2.5,9,math,exercise,3.0
3.8,5,art,read,3.0
7.0,9,computer_science,flashcards,8.0
18.6,4,italian,read,7.8
16.0,3,philosophy,repeat,7.2
8.7,6,physics,flashcards,6.3
9.9,5,art,read,4.8
5.3,7,art,flashcards,6.0
14.1,5,math,exercise,6.3
16.1,3,english,read,8.3
4.8,7,art,flashcards,6.2
0.8,7,science,read,1.0
12.5,4,philosophy,read,5.4
11.3,4,philosophy,repeat,6.1
8.0,5,science,read,2.8
12.9,4,science,flashcards,7.7
11.0,6,science,read,4.6
5.0,8,philosophy,read,2.5
8.0,7,history,flashcards,6.5
8.6,7,philosophy,repeat,6.1
17.6,5,english,flashcards,10.0
19.2,2,math,exercise,8.4
17.9,3,computer_science,read,8.2
14.4,7,history,read,6.7
11.7,4,physics,exercise,5.8
13.8,7,computer_science,repeat,8.3
18.8,3,math,exercise,8.4
5.0,4,english,repeat,4.5
10.7,5,english,repeat,6.7
13.8,6,physics,exercise,7.3
13.6,7,history,repeat,8.1
5.0,5,science,repeat,2.8
11.7,6,history,repeat,6.8
15.9,5,english,read,8.4
9.5,8,philosophy,flashcards,8.2
15.9,1,math,exercise,6.5
7.2,9,physics,exercise,4.9
18.8,4,math,exercise,8.3
10.7,6,italian,repeat,6.0
11.9,7,italian,flashcards,8.9
0.6,5,history,read,1.0
3.4,9,english,repeat,5.1
12.7,8,english,repeat,8.4
8.4,4,science,flashcards,4.3
10.2,5,science,read,3.7
1.3,8,science,repeat,1.1
16.7,4,philosophy,repeat,7.4
15.7,5,computer_science,repeat,8.5
3.7,6,art,repeat,4.6
12.7,5,computer_science,read,6.7
16.4,7,math,exercise,7.6
12.8,5,computer_science,repeat,7.8
6.2,7,philosophy,repeat,4.8
13.1,4,math,exercise,6.8
4.2,9,computer_science,repeat,5.2
6.4,6,philosophy,read,3.4
4.8,4,art,read,2.1
11.1,6,computer_science,repeat,7.7
2.2,9,philosophy,repeat,3.0
18.7,3,science,read,6.4
6.7,3,english,flashcards,5.5
4.4,5,science,repeat,2.3
9.9,5,english,flashcards,8.3
5.5,6,physics,read,1.8
10.7,6,physics,flashcards,7.0
7.0,7,physics,exercise,5.1
2.6,7,art,flashcards,3.8
5.3,5,science,flashcards,4.2
8.8,8,english,flashcards,8.2
0.6,9,philosophy,repeat,3.0
15.4,5,math,flashcards,7.7
12.4,5,philosophy,repeat,6.6
12.0,7,math,exercise,5.6
10.9,5,italian,flashcards,7.9
11.8,6,philosophy,read,5.5
18.7,4,computer_science,repeat,9.2
0.2,9,computer_science,repeat,3.6
1.0,6,history,repeat,3.1
